Medidas feitas em: 07-01-2025
Ensaio Nº,Hora,Distância a Medir (cm),Distância (cm)
1,15:16:23,0.00,9.00
2,15:16:24,5.00,10.00
3,15:16:25,10.00,10.00
4,15:16:26,15.00,9.00
5,15:16:27,20.00,12.00
6,15:16:28,25.00,12.00
7,15:16:29,30.00,11.00
8,15:16:30,35.00,11.00
9,15:16:31,40.00,16.00
10,15:16:32,45.00,16.00
11,15:16:33,50.00,16.00
12,15:16:34,55.00,16.00
13,15:16:35,60.00,20.00
14,15:16:36,65.00,19.00
15,15:16:37,70.00,20.00
16,15:16:38,75.00,20.00
17,15:16:39,80.00,26.00
18,15:16:40,85.00,26.00
19,15:16:41,90.00,26.00
20,15:16:42,95.00,25.00
21,15:16:43,100.00,32.00
